TradeDate|Cusip|Symbol|OpenPrice|ClosePrice|Bid|Ask|Volume|VolumePre|VolumePost
2011-11-01|00349351|POT|45.31|45.67|45.73|45.74|11,525,889|null|null
2011-11-01|01381720|AAp||83.470000|81.980000|83.470000|null|null|null
2011-11-01|03783310|AAPL|397.410000|396.510000|396.500000|396.510000|18514825.000000|null|null
2011-11-01|03822210|AMAT|12.010000|11.920000|11.910000|11.920000|15559894.000000|null|null
2011-11-01|04951310|ATML|10.150000|10.290000|10.290000|10.300000|11787197.000000|null|null
2011-11-01|11132010|BRCM|35.059900|34.500000|34.510000|34.520000|9877910.000000|null|null
2011-11-01|13800630|CAJ|44.740000|44.870000|44.810000|44.840000|269590.000000|null|null
2011-11-01|14365830|CCL|33.610000|33.260000|33.260000|33.260000|8335916.000000|null|null
2011-11-01|24736170|DAL|8.200000|8.330000|8.320000|8.330000|20809332.000000|null|null
2011-11-01|26864810|EMC|23.830000|23.780000|23.780000|23.770000|26647173.000000|null|null
2011-11-01|37045V10|GM|24.820000|23.330000|23.340000|23.340000|25094427.000000|null|null
2011-11-01|39945C10|GIB|19.500000|19.670000|19.680000|19.700000|353915.000000|null|null
2011-11-01|45814010|INTC|24.110000|23.900000|23.890000|23.890000|66702952.000000|null|null
2011-11-01|45920010|IBM|181.550000|181.350000|181.510000|181.510000|5729430.000000|null|null
2011-11-01|57772K10|MXIM|25.630000|25.570000|25.570000|25.590000|2259594.000000|null|null
2011-11-01|59491810|MSFT|26.190000|25.990000|25.970000|25.980000|59870451.000000|null|null
2011-11-01|59501710|MCHP|35.170000|34.480000|34.480000|34.490000|3517371.000000|null|null
2011-11-01|67066G10|NVDA|14.260000|14.060000|14.050000|14.060000|19527313.000000|null|null
2011-11-01|68389X10|ORCL|31.960000|31.690000|31.680000|31.690000|30966777.000000|null|null
2011-11-01|80305420|SAP|58.290000|58.960000|58.960000|58.970000|2755904.000000|null|null
2011-11-01|86101210|STM|6.440000|6.490000|6.480000|6.490000|3786972.000000|null|null
2011-11-01|87612E10|TGT|53.240000|52.610000|52.630000|52.620000|16414943.000000|null|null
2011-11-01|93114210|WMT|55.820000|56.230000|56.260000|56.260000|13523170.000000|null|null
2011-11-01|97651M10|WIT|10.300000|10.060000|10.050000|10.060000|1046800.000000|null|null
2011-11-01|98849810|YUM|52.510000|52.620000|52.630000|52.650000|4103208.000000|null|null
2011-11-01|G5876H10|MRVL|13.570000|13.520000|13.530000|13.540000|14906369.000000|null|null
2011-11-01|G7945M10|STX|15.740000|16.250000|16.260000|16.280000|16628973.000000|null|null
2011-11-01|N0705918|ASML|40.100000|40.650000|40.650000|40.680000|4811125.000000|null|null
2011-11-02|00349351|POT|46.96|46.76|46.76|46.76|7,921,861|null|null
2011-11-02|01381720|AAp||80.520000|80.520000|82.790000|null|null|null
2011-11-02|03783310|AAPL|400.090000|397.410000|397.220000|397.410000|11217966.000000|null|null
2011-11-02|03822210|AMAT|12.000000|12.040000|12.030000|12.040000|12190794.000000|null|null
2011-11-02|04951310|ATML|9.800000|10.180000|10.180000|10.190000|17907033.000000|null|null
2011-11-02|11132010|BRCM|34.810000|34.220000|34.220000|34.230000|8616728.000000|null|null
2011-11-02|13800630|CAJ|45.080000|45.040000|45.040000|45.060000|219341.000000|null|null
2011-11-02|14365830|CCL|33.720000|33.920000|33.930000|33.940000|5728345.000000|null|null
2011-11-02|24736170|DAL|8.400000|8.250000|8.250000|8.260000|11539383.000000|null|null
2011-11-02|26864810|EMC|24.070000|24.310000|24.300000|24.310000|25420302.000000|null|null
2011-11-02|37045V10|GM|23.700000|23.200000|23.200000|23.200000|14230407.000000|null|null
