cusip,trade_date,open_price,close_price,volume
037833100,2011-11-01,397.410000,396.510000,18992411
594918104,2011-11-01,26.190000,25.990000,61186956
459200101,2011-11-01,181.550000,181.350000,5883336
931142103,2011-11-01,55.820000,56.230000,13790143
68389X105,2011-11-01,31.960000,31.690000,31480143
458140100,2011-11-01,24.110000,23.900000,68002340
803054204,2011-11-01,58.290000,58.960000,2825874
138006309,2011-11-01,44.740000,44.870000,271190
268648102,2011-11-01,23.830000,23.780000,27264435
37045V100,2011-11-01,24.820000,23.330000,25371128
87612E106,2011-11-01,53.240000,52.610000,16465955
143658300,2011-11-01,33.610000,33.260000,8440643
97651M109,2011-11-01,10.300000,10.060000,1047700
988498101,2011-11-01,52.510000,52.620000,4132077
111320107,2011-11-01,35.059900,34.500000,10106566
N07059186,2011-11-01,40.100000,40.650000,5452008
038222105,2011-11-01,12.010000,11.920000,16066481
67066G104,2011-11-01,14.260000,14.060000,19776107
G5876H105,2011-11-01,13.570000,13.520000,15093341
57772K101,2011-11-01,25.630000,25.570000,2296822
247361702,2011-11-01,8.200000,8.330000,20844983
G7945M107,2011-11-01,15.740000,16.250000,16679288
595017104,2011-11-01,35.170000,34.480000,3693568
861012102,2011-11-01,6.440000,6.490000,3820958
39945C109,2011-11-01,19.500000,19.670000,356884
049513104,2011-11-01,10.150000,10.290000,12223644
037833100,2011-11-02,400.090000,397.410000,11723381
594918104,2011-11-02,26.100000,26.010000,53536398
459200101,2011-11-02,184.000000,183.920000,4136703
931142103,2011-11-02,56.770000,56.860000,8920447
68389X105,2011-11-02,31.960000,32.280000,26470873
458140100,2011-11-02,24.020000,23.850000,56702801
803054204,2011-11-02,59.710000,60.250000,1526213
138006309,2011-11-02,45.080000,45.040000,220941
268648102,2011-11-02,24.070000,24.310000,26156969
37045V100,2011-11-02,23.700000,23.200000,14368637
87612E106,2011-11-02,53.330000,52.920000,12182982
143658300,2011-11-02,33.720000,33.920000,5758107
97651M109,2011-11-02,10.120000,10.100000,773928
988498101,2011-11-02,53.090000,53.150000,3317691
111320107,2011-11-02,34.810000,34.220000,8750094
N07059186,2011-11-02,40.530000,40.460000,2208951
038222105,2011-11-02,12.000000,12.040000,12590014
67066G104,2011-11-02,14.200000,13.815000,24052336
G5876H105,2011-11-02,13.690000,13.600000,8689011
57772K101,2011-11-02,25.820000,25.630000,1736954
G7945M107,2011-11-02,16.270000,16.840000,15536913
247361702,2011-11-02,8.400000,8.250000,11882787
595017104,2011-11-02,34.730000,34.620000,2247286
861012102,2011-11-02,6.700000,6.710000,2180356
39945C109,2011-11-02,19.890000,20.110000,230469
049513104,2011-11-02,9.800000,10.180000,18894964
037833100,2011-11-03,399.070000,403.070000,15768725
594918104,2011-11-03,26.240000,26.530000,65837011
