id|trade_date|open|close|bid|ask|volume_pre|volume_post|volume
AAPL:037833100|2011-11-01|397.410000|396.510000|396.500000|396.510000|166729.000000|310857.000000|18514825.000000
AAp:01381720|2011-11-01||83.470000|81.980000|83.470000|||
MSFT:594918104|2011-11-01|26.190000|25.990000|25.970000|25.980000|1093228.000000|223277.000000|59870451.000000
IBM:459200101|2011-11-01|181.550000|181.350000|181.510000|181.510000|113421.000000|40485.000000|5729430.000000
WMT:931142103|2011-11-01|55.820000|56.230000|56.260000|56.260000|180056.000000|86917.000000|13523170.000000
ORCL:68389X105|2011-11-01|31.960000|31.690000|31.680000|31.690000|472424.000000|40942.000000|30966777.000000
INTC:458140100|2011-11-01|24.110000|23.900000|23.890000|23.890000|1062542.000000|236846.000000|66702952.000000
SAP:803054204|2011-11-01|58.290000|58.960000|58.960000|58.970000|300.000000|69670.000000|2755904.000000
CAJ:138006309|2011-11-01|44.740000|44.870000|44.810000|44.840000|1100.000000|500.000000|269590.000000
EMC:268648102|2011-11-01|23.830000|23.780000|23.780000|23.770000|261362.000000|355900.000000|26647173.000000
POT:003493512|2011-11-01|45.31|45.67|45.73|45.74|27,057|66,376|11,525,889
GM:37045V100|2011-11-01|24.820000|23.330000|23.340000|23.340000|208471.000000|68230.000000|25094427.000000
TGT:87612E106|2011-11-01|53.240000|52.610000|52.630000|52.620000|24257.000000|26755.000000|16414943.000000
CCL:143658300|2011-11-01|33.610000|33.260000|33.260000|33.260000|32442.000000|72285.000000|8335916.000000
WIT:97651M109|2011-11-01|10.300000|10.060000|10.050000|10.060000|600.000000|300.000000|1046800.000000
YUM:988498101|2011-11-01|52.510000|52.620000|52.630000|52.650000|19582.000000|9287.000000|4103208.000000
BRCM:111320107|2011-11-01|35.059900|34.500000|34.510000|34.520000|210143.000000|18513.000000|9877910.000000
ASML:N07059186|2011-11-01|40.100000|40.650000|40.650000|40.680000|1200.000000|639683.000000|4811125.000000
AMAT:038222105|2011-11-01|12.010000|11.920000|11.910000|11.920000|493318.000000|13269.000000|15559894.000000
NVDA:67066G104|2011-11-01|14.260000|14.060000|14.050000|14.060000|175137.000000|73657.000000|19527313.000000
MRVL:G5876H105|2011-11-01|13.570000|13.520000|13.530000|13.540000|179687.000000|7285.000000|14906369.000000
MXIM:57772K101|2011-11-01|25.630000|25.570000|25.570000|25.590000|34728.000000|2500.000000|2259594.000000
DAL:247361702|2011-11-01|8.200000|8.330000|8.320000|8.330000|4855.000000|30796.000000|20809332.000000
STX:G7945M107|2011-11-01|15.740000|16.250000|16.260000|16.280000|45565.000000|4750.000000|16628973.000000
MCHP:595017104|2011-11-01|35.170000|34.480000|34.480000|34.490000|107588.000000|68609.000000|3517371.000000
STM:861012102|2011-11-01|6.440000|6.490000|6.480000|6.490000|200.000000|33786.000000|3786972.000000
GIB:39945C109|2011-11-01|19.500000|19.670000|19.680000|19.700000|1200.000000|1769.000000|353915.000000
ATML:049513104|2011-11-01|10.150000|10.290000|10.290000|10.300000|432758.000000|3689.000000|11787197.000000
AAPL:037833100|2011-11-02|400.090000|397.410000|397.220000|397.410000|371114.000000|134301.000000|11217966.000000
AAp:01381720|2011-11-02||80.520000|80.520000|82.790000|||
MSFT:594918104|2011-11-02|26.100000|26.010000|26.010000|26.020000|1839211.000000|79224.000000|51617963.000000
